*** SAMPLE FILE FOR BATTERY LOG CONVERTED TO CSV ***

19-24-20,charging,29.3339996338,0.671000003815,100
19-24-35,charging,29.3829994202,0.688000023365,100
19-24-50,charging,29.4150009155,0.746500015259,100
19-25-5,charging,29.3910007477,0.712999999523,100
19-25-20,charging,29.3589992523,0.671000003815,100
19-25-35,charging,29.3500003815,0.629000008106,100
19-25-50,charging,29.3910007477,0.587000012398,100
19-26-5,charging,29.3500003815,0.662500023842,100
19-26-20,charging,29.3829994202,0.746500015259,100
19-26-35,charging,29.3589992523,0.679499983788,100
19-26-50,charging,29.3589992523,0.629000008106,100
19-27-5,charging,29.3990001678,0.679499983788,100
19-27-20,charging,29.375,0.629000008106,100
19-27-35,charging,29.3990001678,0.620999991894,100
19-27-50,charging,29.3500003815,0.595499992371,100
19-28-5,charging,29.3589992523,0.620999991894,100
19-28-20,charging,29.375,0.578999996185,100
19-28-35,charging,29.3910007477,0.595499992371,100
19-28-50,charging,29.4150009155,0.570500016212,100
19-29-5,charging,29.3829994202,0.654500007629,100
19-29-20,charging,29.3339996338,0.537000000477,100
19-29-35,charging,29.375,0.612500011921,100
19-29-50,charging,29.4150009155,0.587000012398,100
19-30-5,charging,29.4150009155,0.612500011921,100
19-30-20,charging,29.3589992523,0.495000004768,100
19-30-35,charging,29.3589992523,0.662500023842,100
19-30-50,charging,29.3589992523,0.486499994993,100
19-31-5,charging,29.4150009155,0.570500016212,100
19-31-20,charging,29.375,0.578999996185,100
19-31-35,charging,29.3990001678,0.519999980927,100
19-31-50,charging,29.4150009155,0.545000016689,100
19-32-5,charging,29.3589992523,0.495000004768,100
19-32-20,charging,29.3990001678,0.561999976635,100
19-32-35,charging,29.375,0.620999991894,100
19-32-50,charging,29.4150009155,0.486499994993,100
19-33-5,charging,29.406999588,0.545000016689,100
19-33-20,charging,29.3670005798,0.486499994993,100
19-33-35,charging,29.3589992523,0.545000016689,100
19-33-50,charging,29.4150009155,0.578999996185,100
19-34-5,charging,29.3589992523,0.654500007629,100
19-34-20,charging,29.4150009155,0.730000019073,100
19-34-35,charging,29.3910007477,0.637499988079,100
19-34-50,charging,29.3589992523,0.688000023365,100
19-35-5,charging,29.3910007477,0.721499979496,100
19-35-20,charging,29.3910007477,0.654500007629,100
19-35-35,charging,29.406999588,0.70450001955,100
19-35-50,charging,29.4150009155,0.662500023842,100
19-36-5,charging,29.4400005341,0.637499988079,100
19-36-20,charging,29.3670005798,0.646000027657,100
19-36-35,charging,29.4319992065,0.688000023365,100
19-36-50,charging,29.3589992523,0.688000023365,100
19-37-5,charging,29.4559993744,0.696500003338,100
19-37-20,charging,29.375,0.679499983788,100
19-37-35,charging,29.4239997864,0.679499983788,100
19-37-50,charging,29.4150009155,0.671000003815,100
19-38-5,charging,29.4319992065,0.70450001955,100
